,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
1,Air_India,AI-542,Delhi,Morning,one,Night,Mumbai,Economy,14.17,7,15300
2,GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,7.5,7,15405
3,Air_India,AI-429,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08,7,15405
4,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,7,15720
5,Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,7,16455
6,GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,8.83,7,16193
7,Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,7,16665
8,Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.5,7,18870
9,GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,6.33,7,18959
10,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.83,7,19395
11,Air_India,AI-885,Delhi,Morning,one,Evening,Mumbai,Economy,5.67,7,21075
12,Air_India,AI-429,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,7,21180
13,Air_India,AI-439,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11,7,21180
14,Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,11.5,7,21443
15,Vistara,UK-847,Delhi,Morning,one,Afternoon,Mumbai,Economy,27.58,7,24488
16,SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,8,5953
