,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,8,19464
2,Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,11.5,8,19500
3,Air_India,AI-885,Delhi,Morning,one,Evening,Mumbai,Economy,5.67,8,20760
4,AirAsia,I5-773,Delhi,Evening,one,Early_Morning,Mumbai,Economy,11.67,8,23307
5,Vistara,UK-847,Delhi,Morning,one,Afternoon,Mumbai,Economy,27.58,8,28058
6,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,9,5955
7,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,9,5955
8,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,9,5955
9,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,9,5955
10,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,9,5955
11,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,9,5955
12,Vistara,UK-981,Delhi,Night,zero,Night,Mumbai,Economy,2,9,5955
13,Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,9,5955
14,Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,9,5955
15,Vistara,UK-993,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.17,9,5955
