,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1,Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,9,5955
2,Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,9,5955
3,Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,9,5955
4,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,9,5955
5,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,9,5955
6,Vistara,UK-941,Delhi,Evening,zero,Evening,Mumbai,Economy,2.33,9,5955
7,Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,9,5955
8,GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,9,5954
9,GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,9,5954
10,GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,9,5954
11,Indigo,6E-2054,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,9,5955
12,Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,9,5955
13,Indigo,6E-2137,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17,9,5955
14,Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,9,5955
15,Indigo,6E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,9,5955
16,Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,9,5955
17,Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2,9,5955
18,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,9,5955
19,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,9,5955
20,Air_India,AI-865,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,9,5955
21,Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,9,5955
22,Air_India,AI-678,Delhi,Morning,zero,Morning,Mumbai,Economy,2.25,9,5955
23,Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,9,5955
