airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
Air_India,AI-9893,Hyderabad,Early_Morning,one,Evening,Delhi,Economy,13.33,31,4464
Air_India,AI-525,Hyderabad,Early_Morning,one,Night,Delhi,Economy,17,31,4487
Indigo,6E-6062,Hyderabad,Morning,one,Evening,Delhi,Economy,5.25,31,4506
Air_India,AI-698,Hyderabad,Night,one,Morning,Delhi,Economy,10.92,31,4702
Air_India,AI-698,Hyderabad,Night,one,Morning,Delhi,Economy,12,31,4702
Air_India,AI-698,Hyderabad,Night,one,Morning,Delhi,Economy,12.5,31,4702
Air_India,AI-698,Hyderabad,Night,one,Afternoon,Delhi,Economy,14,31,4702
Air_India,AI-698,Hyderabad,Night,one,Evening,Delhi,Economy,20,31,4702
Air_India,AI-698,Hyderabad,Night,one,Evening,Delhi,Economy,21.08,31,4702
Air_India,AI-698,Hyderabad,Night,one,Night,Delhi,Economy,22.17,31,4702
Indigo,6E-6277,Hyderabad,Afternoon,one,Late_Night,Delhi,Economy,10.67,31,4746
Indigo,6E-2093,Hyderabad,Morning,zero,Morning,Delhi,Economy,2.25,31,4873
Indigo,6E-2248,Hyderabad,Afternoon,zero,Evening,Delhi,Economy,2.25,31,4873
Air_India,AI-525,Hyderabad,Early_Morning,one,Morning,Delhi,Economy,27.25,31,4908
Air_India,AI-507,Hyderabad,Morning,one,Night,Delhi,Economy,15.25,31,5157
Indigo,6E-913,Hyderabad,Morning,one,Night,Delhi,Economy,8.83,31,5289
Indigo,6E-913,Hyderabad,Morning,one,Night,Delhi,Economy,11,31,5289
Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Economy,7.75,31,5656
Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Economy,10.08,31,5656
Vistara,UK-876,Hyderabad,Night,one,Morning,Delhi,Economy,10.5,31,5656
Vistara,UK-876,Hyderabad,Night,one,Morning,Delhi,Economy,11,31,5656
Vistara,UK-878,Hyderabad,Afternoon,one,Late_Night,Delhi,Economy,11.25,31,5656
Vistara,UK-878,Hyderabad,Afternoon,one,Late_Night,Delhi,Economy,12,31,5656
Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Economy,12.17,31,5656
Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Economy,14.5,31,5656
Vistara,UK-874,Hyderabad,Morning,one,Late_Night,Delhi,Economy,15.67,31,5656
Vistara,UK-874,Hyderabad,Morning,one,Late_Night,Delhi,Economy,16.42,31,5656
Vistara,UK-659,Hyderabad,Morning,one,Evening,Delhi,Economy,8.83,31,5668
Air_India,AI-525,Hyderabad,Early_Morning,one,Afternoon,Delhi,Economy,6.92,31,5433
Air_India,AI-525,Hyderabad,Early_Morning,one,Evening,Delhi,Economy,12,31,5433
Vistara,UK-898,Hyderabad,Early_Morning,one,Afternoon,Delhi,Economy,5,31,5823
Vistara,UK-894,Hyderabad,Evening,one,Night,Delhi,Economy,5.25,31,5823
Vistara,UK-898,Hyderabad,Early_Morning,one,Afternoon,Delhi,Economy,6.5,31,5823
Vistara,UK-898,Hyderabad,Early_Morning,one,Night,Delhi,Economy,12.83,31,5823
Vistara,UK-898,Hyderabad,Early_Morning,one,Night,Delhi,Economy,13.92,31,5823
Vistara,UK-898,Hyderabad,Early_Morning,one,Night,Delhi,Economy,14.75,31,5823
Vistara,UK-894,Hyderabad,Evening,one,Morning,Delhi,Economy,15.17,31,5823
Vistara,UK-898,Hyderabad,Early_Morning,one,Night,Delhi,Economy,16.08,31,5823
Vistara,UK-894,Hyderabad,Evening,one,Morning,Delhi,Economy,16.17,31,5823
Vistara,UK-894,Hyderabad,Evening,one,Afternoon,Delhi,Economy,18.17,31,5823
Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Delhi,Economy,5.17,31,5892
Vistara,UK-874,Hyderabad,Morning,one,Afternoon,Delhi,Economy,5.58,31,5892
Vistara,UK-874,Hyderabad,Morning,one,Afternoon,Delhi,Economy,6,31,5892
Vistara,UK-874,Hyderabad,Morning,one,Evening,Delhi,Economy,8.42,31,5892
Vistara,UK-874,Hyderabad,Morning,one,Evening,Delhi,Economy,9.58,31,5892
Vistara,UK-876,Hyderabad,Night,one,Afternoon,Delhi,Economy,15.08,31,5892
Vistara,UK-876,Hyderabad,Night,one,Afternoon,Delhi,Economy,16.5,31,5892
Vistara,UK-876,Hyderabad,Night,one,Afternoon,Delhi,Economy,16.92,31,5892
Vistara,UK-876,Hyderabad,Night,one,Evening,Delhi,Economy,19.33,31,5892
Vistara,UK-876,Hyderabad,Night,one,Evening,Delhi,Economy,20.5,31,5892
Air_India,AI-507,Hyderabad,Morning,one,Evening,Delhi,Economy,7.58,31,5577
GO_FIRST,G8-625,Hyderabad,Morning,one,Evening,Delhi,Economy,6.33,31,5612
GO_FIRST,G8-123,Hyderabad,Early_Morning,one,Evening,Delhi,Economy,10.83,31,5612
Vistara,UK-659,Hyderabad,Morning,one,Evening,Delhi,Economy,5.5,31,5967
Air_India,AI-508,Hyderabad,Afternoon,one,Night,Delhi,Economy,7.5,31,5697
Air_India,AI-9875,Hyderabad,Morning,one,Night,Delhi,Economy,9.58,31,5708
Air_India,AI-9518,Hyderabad,Night,one,Afternoon,Delhi,Economy,16.25,31,5708
GO_FIRST,G8-509,Hyderabad,Early_Morning,one,Morning,Delhi,Economy,4.92,31,5720
GO_FIRST,G8-517,Hyderabad,Night,one,Morning,Delhi,Economy,13.42,31,5720
Air_India,AI-9891,Hyderabad,Evening,one,Night,Delhi,Economy,4.75,31,5809
