airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
Air_India,AI-770,Kolkata,Night,one,Afternoon,Bangalore,Business,16,47,60978
Air_India,AI-763,Kolkata,Early_Morning,one,Night,Bangalore,Business,17,47,60978
Air_India,AI-768,Kolkata,Afternoon,one,Morning,Bangalore,Business,17.42,47,60978
Air_India,AI-770,Kolkata,Night,one,Evening,Bangalore,Business,19.75,47,60978
Air_India,AI-770,Kolkata,Night,one,Night,Bangalore,Business,23.58,47,60978
Vistara,UK-778,Kolkata,Afternoon,one,Night,Bangalore,Business,7.33,47,61874
Vistara,UK-778,Kolkata,Afternoon,one,Night,Bangalore,Business,8,47,61874
Vistara,UK-778,Kolkata,Afternoon,one,Morning,Bangalore,Business,17.67,47,61874
Air_India,AI-526,Kolkata,Evening,one,Morning,Bangalore,Business,15.42,48,31902
Vistara,UK-776,Kolkata,Evening,one,Night,Bangalore,Business,5.25,48,52287
Vistara,UK-772,Kolkata,Morning,one,Evening,Bangalore,Business,7.33,48,52287
Vistara,UK-772,Kolkata,Morning,one,Evening,Bangalore,Business,8.83,48,52287
Vistara,UK-772,Kolkata,Morning,one,Night,Bangalore,Business,10.5,48,52287
Vistara,UK-774,Kolkata,Night,one,Early_Morning,Bangalore,Business,11.25,48,52287
Vistara,UK-774,Kolkata,Night,one,Morning,Bangalore,Business,12.25,48,52287
Vistara,UK-772,Kolkata,Morning,one,Night,Bangalore,Business,12.42,48,52287
Vistara,UK-774,Kolkata,Night,one,Morning,Bangalore,Business,14.17,48,52287
Vistara,UK-776,Kolkata,Evening,one,Early_Morning,Bangalore,Business,14.25,48,52287
Vistara,UK-776,Kolkata,Evening,one,Morning,Bangalore,Business,15.25,48,52287
Vistara,UK-776,Kolkata,Evening,one,Morning,Bangalore,Business,17.17,48,52287
Vistara,UK-774,Kolkata,Night,one,Evening,Bangalore,Business,21.17,48,52287
Vistara,UK-772,Kolkata,Morning,one,Early_Morning,Bangalore,Business,21.42,48,52287
Vistara,UK-772,Kolkata,Morning,one,Morning,Bangalore,Business,22.42,48,52287
Vistara,UK-774,Kolkata,Night,one,Evening,Bangalore,Business,22.67,48,52287
Vistara,UK-776,Kolkata,Evening,one,Evening,Bangalore,Business,24.17,48,52287
Vistara,UK-772,Kolkata,Morning,one,Morning,Bangalore,Business,24.33,48,52287
Vistara,UK-774,Kolkata,Night,one,Night,Bangalore,Business,24.33,48,52287
Vistara,UK-776,Kolkata,Evening,one,Evening,Bangalore,Business,25.67,48,52287
