airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
GO_FIRST,G8-812,Bangalore,Night,one,Morning,Hyderabad,Economy,11.75,38,4403
Indigo,6E-7223,Bangalore,Afternoon,one,Evening,Hyderabad,Economy,4.58,38,4601
Indigo,6E-7223,Bangalore,Afternoon,one,Night,Hyderabad,Economy,8.08,38,4601
Indigo,6E-7071,Bangalore,Morning,one,Evening,Hyderabad,Economy,8.42,38,4601
Indigo,6E-7257,Bangalore,Morning,one,Afternoon,Hyderabad,Economy,4.75,38,4758
Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Hyderabad,Economy,5.58,38,5322
Vistara,UK-866,Bangalore,Night,one,Early_Morning,Hyderabad,Economy,10.17,38,5322
Vistara,UK-852,Bangalore,Morning,one,Night,Hyderabad,Economy,11.42,38,5322
Vistara,UK-850,Bangalore,Evening,one,Early_Morning,Hyderabad,Economy,11.92,38,5322
Vistara,UK-864,Bangalore,Evening,one,Early_Morning,Hyderabad,Economy,12.83,38,5322
Vistara,UK-854,Bangalore,Evening,one,Early_Morning,Hyderabad,Economy,13.42,38,5322
Vistara,UK-858,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,14.25,38,5322
Vistara,UK-866,Bangalore,Night,one,Afternoon,Hyderabad,Economy,14.58,38,5322
Vistara,UK-850,Bangalore,Evening,one,Afternoon,Hyderabad,Economy,16.33,38,5322
Vistara,UK-864,Bangalore,Evening,one,Afternoon,Hyderabad,Economy,17.25,38,5322
Vistara,UK-854,Bangalore,Evening,one,Afternoon,Hyderabad,Economy,17.83,38,5322
Vistara,UK-852,Bangalore,Morning,one,Early_Morning,Hyderabad,Economy,22.33,38,5322
Vistara,UK-866,Bangalore,Night,one,Night,Hyderabad,Economy,23.25,38,5322
Vistara,UK-850,Bangalore,Evening,one,Night,Hyderabad,Economy,25,38,5322
Vistara,UK-858,Bangalore,Early_Morning,one,Early_Morning,Hyderabad,Economy,25.17,38,5322
Vistara,UK-864,Bangalore,Evening,one,Night,Hyderabad,Economy,25.92,38,5322
Vistara,UK-854,Bangalore,Evening,one,Night,Hyderabad,Economy,26.5,38,5322
Vistara,UK-852,Bangalore,Morning,one,Afternoon,Hyderabad,Economy,26.75,38,5322
Air_India,AI-9547,Bangalore,Evening,one,Night,Hyderabad,Economy,26.08,38,5006
Air_India,AI-9501,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,12.92,38,5012
Indigo,6E-541,Bangalore,Morning,one,Afternoon,Hyderabad,Economy,3.83,38,5016
Indigo,6E-7257,Bangalore,Morning,one,Evening,Hyderabad,Economy,7.92,38,5073
GO_FIRST,G8-790,Bangalore,Afternoon,one,Night,Hyderabad,Economy,8.17,38,5185
AirAsia,I5-818,Bangalore,Early_Morning,one,Evening,Hyderabad,Economy,13.83,38,5186
Indigo,6E-7204,Bangalore,Early_Morning,one,Afternoon,Hyderabad,Economy,7.17,38,5388
Air_India,AI-9505,Bangalore,Morning,one,Night,Hyderabad,Economy,12.08,38,5603
GO_FIRST,G8-7559,Bangalore,Afternoon,one,Night,Hyderabad,Economy,6.67,38,5639
Air_India,AI-503,Bangalore,Evening,one,Morning,Hyderabad,Economy,16.67,38,5780
Air_India,AI-503,Bangalore,Evening,one,Morning,Hyderabad,Economy,18.08,38,5780
GO_FIRST,G8-805,Bangalore,Morning,one,Afternoon,Hyderabad,Economy,7.17,38,5822
Vistara,UK-814,Bangalore,Night,one,Evening,Hyderabad,Economy,22.75,38,6262
GO_FIRST,G8-116,Bangalore,Early_Morning,one,Afternoon,Hyderabad,Economy,7.33,38,6075
GO_FIRST,G8-118,Bangalore,Night,one,Morning,Hyderabad,Economy,11.58,38,6075
GO_FIRST,G8-118,Bangalore,Night,one,Afternoon,Hyderabad,Economy,16.75,38,6075
Air_India,AI-505,Bangalore,Morning,one,Night,Hyderabad,Economy,13.17,38,6200
Air_India,AI-808,Bangalore,Night,one,Morning,Hyderabad,Economy,13.5,38,6200
