airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Economy,15.92,36,4413
Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Economy,16.92,36,4413
Indigo,6E-495,Chennai,Early_Morning,one,Afternoon,Mumbai,Economy,5.67,36,4276
Vistara,UK-836,Chennai,Morning,one,Evening,Mumbai,Economy,5.75,36,4637
Vistara,UK-836,Chennai,Morning,one,Evening,Mumbai,Economy,6.92,36,4637
Vistara,UK-832,Chennai,Early_Morning,one,Afternoon,Mumbai,Economy,7.08,36,4637
Vistara,UK-832,Chennai,Early_Morning,one,Afternoon,Mumbai,Economy,8.08,36,4637
Vistara,UK-832,Chennai,Early_Morning,one,Evening,Mumbai,Economy,9.58,36,4637
Vistara,UK-832,Chennai,Early_Morning,one,Evening,Mumbai,Economy,10.75,36,4637
Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,Economy,11.25,36,4637
Vistara,UK-838,Chennai,Night,one,Morning,Mumbai,Economy,14.5,36,4637
Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Economy,15.08,36,4637
Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,Economy,15.5,36,4637
Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,Economy,16.92,36,4637
Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,Economy,17.92,36,4637
Vistara,UK-838,Chennai,Night,one,Evening,Mumbai,Economy,19.42,36,4637
Vistara,UK-838,Chennai,Night,one,Evening,Mumbai,Economy,20.58,36,4637
Indigo,6E-588,Chennai,Evening,one,Late_Night,Mumbai,Economy,6.5,36,4299
Indigo,6E-588,Chennai,Evening,one,Late_Night,Mumbai,Economy,8.75,36,4299
Air_India,AI-440,Chennai,Early_Morning,one,Afternoon,Mumbai,Economy,6.67,36,4357
Air_India,AI-430,Chennai,Morning,one,Evening,Mumbai,Economy,8.08,36,4357
Air_India,AI-430,Chennai,Morning,one,Evening,Mumbai,Economy,10.08,36,4357
Air_India,AI-430,Chennai,Morning,one,Night,Mumbai,Economy,11.33,36,4357
Air_India,AI-430,Chennai,Morning,one,Night,Mumbai,Economy,11.67,36,4357
Air_India,AI-440,Chennai,Early_Morning,one,Evening,Mumbai,Economy,11.83,36,4357
Air_India,AI-430,Chennai,Morning,one,Night,Mumbai,Economy,12.25,36,4357
Air_India,AI-538,Chennai,Night,one,Morning,Mumbai,Economy,12.75,36,4357
Air_India,AI-440,Chennai,Early_Morning,one,Evening,Mumbai,Economy,13.83,36,4357
Air_India,AI-538,Chennai,Night,one,Morning,Mumbai,Economy,13.83,36,4357
Air_India,AI-538,Chennai,Night,one,Morning,Mumbai,Economy,14.92,36,4357
Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,Economy,15.08,36,4357
Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,Economy,15.42,36,4357
Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,Economy,16,36,4357
Air_India,AI-539,Chennai,Evening,one,Morning,Mumbai,Economy,16.08,36,4357
Air_India,AI-538,Chennai,Night,one,Afternoon,Mumbai,Economy,16.5,36,4357
Air_India,AI-539,Chennai,Evening,one,Morning,Mumbai,Economy,17.17,36,4357
Air_India,AI-539,Chennai,Evening,one,Morning,Mumbai,Economy,18.25,36,4357
